Role Family,Role,Role Description,Role Level,Role Level Description,Skill Name,Skill Description,Skill Level,Skill Level Description,Role Type
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Head of digital evaluation,"A head of digital evaluation leads the digital evaluation community. They act as the point of contact between the community and the rest of the organisation.

At this role level, you will:
- remove blockers and act as an escalation point for important issues
- set the digital evaluation strategy with input from lead and senior digital evaluators
- define a framework for quality assurance within evaluation
- advocate for digital evaluation, working with colleagues across government, other Government Digital and Data communities and analytical professions
- manage the organisation’s digital evaluation capability through business planning, development and recruitment",Evaluation planning and strategy,"Evaluation planning and strategy involves working with stakeholders to develop plans for monitoring and evaluating products and services, and gaining support for effective evaluation.",Expert,"You can:
- influence the organisation’s senior stakeholders to secure resources for evaluation projects
- provide guidance on the evaluation strategy for a group of digital products and services
- ensure evaluation plans are delivered effectively and meet quality standards
- coach teams on how to create evaluation and plans and strategies",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Head of digital evaluation,"A head of digital evaluation leads the digital evaluation community. They act as the point of contact between the community and the rest of the organisation.

At this role level, you will:
- remove blockers and act as an escalation point for important issues
- set the digital evaluation strategy with input from lead and senior digital evaluators
- define a framework for quality assurance within evaluation
- advocate for digital evaluation, working with colleagues across government, other Government Digital and Data communities and analytical professions
- manage the organisation’s digital evaluation capability through business planning, development and recruitment",Monitoring and evaluation across the product life cycle,Monitoring and evaluation across the product life cycle involves effectively integrating evaluation activities into different stages of the delivery process.,Expert,"You can:
- lead and champion best practice, and identify improvements to current approaches for monitoring and evaluation through the product life cycle
- identify and raise evaluation or product risks during any stage of the product life cycle
- coach, guide and support teams moving through the product life cycle phases",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Head of digital evaluation,"A head of digital evaluation leads the digital evaluation community. They act as the point of contact between the community and the rest of the organisation.

At this role level, you will:
- remove blockers and act as an escalation point for important issues
- set the digital evaluation strategy with input from lead and senior digital evaluators
- define a framework for quality assurance within evaluation
- advocate for digital evaluation, working with colleagues across government, other Government Digital and Data communities and analytical professions
- manage the organisation’s digital evaluation capability through business planning, development and recruitment",Product and service monitoring,Product and service monitoring involves developing a theory of change and measurement frameworks to understand effects of services on the user and the economy.,Expert,"You can:
- get support from senior stakeholders for the need to develop theories of change
- provide guidance on how to develop theories of change
- define best practice and methodologies for measuring indicators, including economic outcomes, and communicating limitations",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Head of digital evaluation,"A head of digital evaluation leads the digital evaluation community. They act as the point of contact between the community and the rest of the organisation.

At this role level, you will:
- remove blockers and act as an escalation point for important issues
- set the digital evaluation strategy with input from lead and senior digital evaluators
- define a framework for quality assurance within evaluation
- advocate for digital evaluation, working with colleagues across government, other Government Digital and Data communities and analytical professions
- manage the organisation’s digital evaluation capability through business planning, development and recruitment",Quality assurance of data and analysis,Quality assurance of data and analysis involves sorting and cleansing information so that any conclusions based on it can be made with confidence.,Expert,"You can:
- set up tools and systems for effectively assuring data and analysis across multiple teams
- use appropriate approaches for verifying and validating data and analysis
- influence senior stakeholders over data and analysis approaches
- coach and mentor others in assuring data and analysis",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Junior digital evaluator,"A junior digital evaluator is an entry-level role. They have an understanding of the role and can show potential.

At this role level, you will:
- support the work of more experienced digital evaluators
- develop your skills through training
- receive guidance from other digital evaluators on how to produce good work",Communicating analysis and insight,MISSING,Awareness,"You can:
- explain why it's important to clearly communicate findings from analysis
- explain some methods for effectively communicating findings from analysis",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Junior digital evaluator,"A junior digital evaluator is an entry-level role. They have an understanding of the role and can show potential.

At this role level, you will:
- support the work of more experienced digital evaluators
- develop your skills through training
- receive guidance from other digital evaluators on how to produce good work",Data ethics and privacy,Data ethics and privacy involves using data and emerging data techniques in compliance with ethical and legal obligations.,Awareness,"You can:
- explain the importance of using data ethics and privacy in your work
- identify appropriate channels to discuss ethical issues, with support",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Junior digital evaluator,"A junior digital evaluator is an entry-level role. They have an understanding of the role and can show potential.

At this role level, you will:
- support the work of more experienced digital evaluators
- develop your skills through training
- receive guidance from other digital evaluators on how to produce good work",Evaluation delivery,Evaluation delivery involves using data collection and analytical techniques to evaluate a digital product or service across the development cycle.,Working,"You can:
- evaluate interventions with support using techniques including process evaluation, impact evaluation, ‘theory of change’, experimentation and economic evaluation
- collect quantitative and qualitative data with support
- analyse and interpret data you have collected and data from other sources with support
- use some analytical approaches, including descriptive and inferential analysis",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Junior digital evaluator,"A junior digital evaluator is an entry-level role. They have an understanding of the role and can show potential.

At this role level, you will:
- support the work of more experienced digital evaluators
- develop your skills through training
- receive guidance from other digital evaluators on how to produce good work",Evaluation planning and strategy,"Evaluation planning and strategy involves working with stakeholders to develop plans for monitoring and evaluating products and services, and gaining support for effective evaluation.",Awareness,"You can:
- describe how you might work with a stakeholder to understand what they need to evaluate and why
- describe a process for translating stakeholder needs into potential research questions and evaluation approaches
- describe some methods for monitoring and evaluating a product or service",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Junior digital evaluator,"A junior digital evaluator is an entry-level role. They have an understanding of the role and can show potential.

At this role level, you will:
- support the work of more experienced digital evaluators
- develop your skills through training
- receive guidance from other digital evaluators on how to produce good work",Monitoring and evaluation across the product life cycle,Monitoring and evaluation across the product life cycle involves effectively integrating evaluation activities into different stages of the delivery process.,Awareness,"You can:
- describe how evaluation needs and activities vary at different phases of the product life cycle",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Junior digital evaluator,"A junior digital evaluator is an entry-level role. They have an understanding of the role and can show potential.

At this role level, you will:
- support the work of more experienced digital evaluators
- develop your skills through training
- receive guidance from other digital evaluators on how to produce good work",Product and service monitoring,Product and service monitoring involves developing a theory of change and measurement frameworks to understand effects of services on the user and the economy.,Awareness,"You can:
- describe what a ‘theory of change’ is
- identify some appropriate stakeholders to involve in developing a theory of change
- describe common issues when measuring performance indicators
- explain the difference between analysis of digital performance and broader monitoring of a product, for example against strategic objectives",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Junior digital evaluator,"A junior digital evaluator is an entry-level role. They have an understanding of the role and can show potential.

At this role level, you will:
- support the work of more experienced digital evaluators
- develop your skills through training
- receive guidance from other digital evaluators on how to produce good work",Quality assurance of data and analysis,Quality assurance of data and analysis involves sorting and cleansing information so that any conclusions based on it can be made with confidence.,Awareness,"You can:
- describe some basic data issues and how to check that data and analysis look right
- explain the concept of data being fit for purpose, and the context of the data
- describe some methods for preparing data for analysis
- describe quality assurance processes",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Lead digital evaluator,"A lead digital evaluator plans and leads evaluation activities in larger teams and for more complex services. They usually manage multiple evaluations and may lead a team of digital evaluators.

At this role level, you will:
- influence stakeholders to secure resources for evaluation
- provide guidance on evaluation strategy for a group of digital products and services
- ensure high evaluation standards for the wider evaluation team are set and met",Communicating analysis and insight,MISSING,Expert,"You can:
- communicate relevant, compelling stories using the most appropriate medium 
- make complex recommendations at a tactical and strategic level",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Lead digital evaluator,"A lead digital evaluator plans and leads evaluation activities in larger teams and for more complex services. They usually manage multiple evaluations and may lead a team of digital evaluators.

At this role level, you will:
- influence stakeholders to secure resources for evaluation
- provide guidance on evaluation strategy for a group of digital products and services
- ensure high evaluation standards for the wider evaluation team are set and met",Data ethics and privacy,Data ethics and privacy involves using data and emerging data techniques in compliance with ethical and legal obligations.,Expert,"You can:
- oversee compliance with data ethics standards and legislation across the organisation
- develop, manage and continuously improve an ethical framework within your area
- develop a data ethics culture, influencing others to act on it
- ensure data ethics is applied appropriately when formulating, implementing and evaluating organisational policies and programmes",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Lead digital evaluator,"A lead digital evaluator plans and leads evaluation activities in larger teams and for more complex services. They usually manage multiple evaluations and may lead a team of digital evaluators.

At this role level, you will:
- influence stakeholders to secure resources for evaluation
- provide guidance on evaluation strategy for a group of digital products and services
- ensure high evaluation standards for the wider evaluation team are set and met",Evaluation delivery,Evaluation delivery involves using data collection and analytical techniques to evaluate a digital product or service across the development cycle.,Practitioner,"You can:
- evaluate digital services using some appropriate techniques including process evaluation, impact evaluation, ‘theory of change’, experimentation and economic evaluation
- collect quantitative and qualitative data
- analyse and interpret data you have collected and data from other sources
- use a wide range of analytical approaches, including descriptive and inferential analysis.",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Lead digital evaluator,"A lead digital evaluator plans and leads evaluation activities in larger teams and for more complex services. They usually manage multiple evaluations and may lead a team of digital evaluators.

At this role level, you will:
- influence stakeholders to secure resources for evaluation
- provide guidance on evaluation strategy for a group of digital products and services
- ensure high evaluation standards for the wider evaluation team are set and met",Evaluation planning and strategy,"Evaluation planning and strategy involves working with stakeholders to develop plans for monitoring and evaluating products and services, and gaining support for effective evaluation.",Practitioner,"You can:
- influence stakeholders to secure resources for an evaluation project
- identify evaluation and evidence needs
- ensure plans for monitoring and evaluation of products and services are appropriate and proportionate
- consider wider policy and practical constraints that affect evaluation strategy
- agree the evaluation approach with diverse stakeholders",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Lead digital evaluator,"A lead digital evaluator plans and leads evaluation activities in larger teams and for more complex services. They usually manage multiple evaluations and may lead a team of digital evaluators.

At this role level, you will:
- influence stakeholders to secure resources for evaluation
- provide guidance on evaluation strategy for a group of digital products and services
- ensure high evaluation standards for the wider evaluation team are set and met",Monitoring and evaluation across the product life cycle,Monitoring and evaluation across the product life cycle involves effectively integrating evaluation activities into different stages of the delivery process.,Practitioner,"You can:
- apply monitoring and evaluation techniques in multiple parts of the product life cycle
- recommend when to move forward and when to stop
- work with other Agile delivery disciplines throughout the product life cycle
- plan and proactively engage with stakeholders at the appropriate stage of the project",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Lead digital evaluator,"A lead digital evaluator plans and leads evaluation activities in larger teams and for more complex services. They usually manage multiple evaluations and may lead a team of digital evaluators.

At this role level, you will:
- influence stakeholders to secure resources for evaluation
- provide guidance on evaluation strategy for a group of digital products and services
- ensure high evaluation standards for the wider evaluation team are set and met",Product and service monitoring,Product and service monitoring involves developing a theory of change and measurement frameworks to understand effects of services on the user and the economy.,Expert,"You can:
- get support from senior stakeholders for the need to develop theories of change
- provide guidance on how to develop theories of change
- define best practice and methodologies for measuring indicators, including economic outcomes, and communicating limitations",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Lead digital evaluator,"A lead digital evaluator plans and leads evaluation activities in larger teams and for more complex services. They usually manage multiple evaluations and may lead a team of digital evaluators.

At this role level, you will:
- influence stakeholders to secure resources for evaluation
- provide guidance on evaluation strategy for a group of digital products and services
- ensure high evaluation standards for the wider evaluation team are set and met",Quality assurance of data and analysis,Quality assurance of data and analysis involves sorting and cleansing information so that any conclusions based on it can be made with confidence.,Expert,"You can:
- set up tools and systems for effectively assuring data and analysis across multiple teams
- use appropriate approaches for verifying and validating data and analysis
- influence senior stakeholders over data and analysis approaches
- coach and mentor others in assuring data and analysis",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Senior digital evaluator,"A senior digital evaluator manages the evaluations of products or services. They ensure that evaluations follow government guidance and meet standards.

At this role level, you will:
- work in a multidisciplinary team
- develop theories of change and evaluation plans with stakeholders
- manage relationships with stakeholders, user researchers and performance analysts 
- collect and analyse quantitative and qualitative data through research
- assure the work of other evaluators, including evaluation plans, data collection and analysis
- identify the resources evaluation needed for evaluation activities",Communicating analysis and insight,MISSING,Practitioner,"You can:
- turn complex data into compelling, clear and actionable stories
- share data communication skills with the team and across government
- present analysis and visualisations in clear ways to communicate complex messages
- communicate negative and positive information to stakeholders
- give tactical and strategic recommendations",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Senior digital evaluator,"A senior digital evaluator manages the evaluations of products or services. They ensure that evaluations follow government guidance and meet standards.

At this role level, you will:
- work in a multidisciplinary team
- develop theories of change and evaluation plans with stakeholders
- manage relationships with stakeholders, user researchers and performance analysts 
- collect and analyse quantitative and qualitative data through research
- assure the work of other evaluators, including evaluation plans, data collection and analysis
- identify the resources evaluation needed for evaluation activities",Data ethics and privacy,Data ethics and privacy involves using data and emerging data techniques in compliance with ethical and legal obligations.,Practitioner,"You can:
- work with stakeholders to identify and address ethical and privacy concerns
- demonstrate and communicate how data ethical issues fit into the wider organisational context
- research developments in data ethics and privacy to improve compliance and processes
- assess and constructively challenge proposed data ethics policies",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Senior digital evaluator,"A senior digital evaluator manages the evaluations of products or services. They ensure that evaluations follow government guidance and meet standards.

At this role level, you will:
- work in a multidisciplinary team
- develop theories of change and evaluation plans with stakeholders
- manage relationships with stakeholders, user researchers and performance analysts 
- collect and analyse quantitative and qualitative data through research
- assure the work of other evaluators, including evaluation plans, data collection and analysis
- identify the resources evaluation needed for evaluation activities",Evaluation delivery,Evaluation delivery involves using data collection and analytical techniques to evaluate a digital product or service across the development cycle.,Practitioner,"You can:
- evaluate digital services using some appropriate techniques including process evaluation, impact evaluation, ‘theory of change’, experimentation and economic evaluation
- collect quantitative and qualitative data
- analyse and interpret data you have collected and data from other sources
- use a wide range of analytical approaches, including descriptive and inferential analysis.",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Senior digital evaluator,"A senior digital evaluator manages the evaluations of products or services. They ensure that evaluations follow government guidance and meet standards.

At this role level, you will:
- work in a multidisciplinary team
- develop theories of change and evaluation plans with stakeholders
- manage relationships with stakeholders, user researchers and performance analysts 
- collect and analyse quantitative and qualitative data through research
- assure the work of other evaluators, including evaluation plans, data collection and analysis
- identify the resources evaluation needed for evaluation activities",Evaluation planning and strategy,"Evaluation planning and strategy involves working with stakeholders to develop plans for monitoring and evaluating products and services, and gaining support for effective evaluation.",Practitioner,"You can:
- influence stakeholders to secure resources for an evaluation project
- identify evaluation and evidence needs
- ensure plans for monitoring and evaluation of products and services are appropriate and proportionate
- consider wider policy and practical constraints that affect evaluation strategy
- agree the evaluation approach with diverse stakeholders",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Senior digital evaluator,"A senior digital evaluator manages the evaluations of products or services. They ensure that evaluations follow government guidance and meet standards.

At this role level, you will:
- work in a multidisciplinary team
- develop theories of change and evaluation plans with stakeholders
- manage relationships with stakeholders, user researchers and performance analysts 
- collect and analyse quantitative and qualitative data through research
- assure the work of other evaluators, including evaluation plans, data collection and analysis
- identify the resources evaluation needed for evaluation activities",Monitoring and evaluation across the product life cycle,Monitoring and evaluation across the product life cycle involves effectively integrating evaluation activities into different stages of the delivery process.,Working,"You can:
- ensure the team is measuring performance as appropriate for the relevant service standard phase
- manage the delivery of evaluation of services or products at different phases
- plan and look at data requirements in future phases",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Senior digital evaluator,"A senior digital evaluator manages the evaluations of products or services. They ensure that evaluations follow government guidance and meet standards.

At this role level, you will:
- work in a multidisciplinary team
- develop theories of change and evaluation plans with stakeholders
- manage relationships with stakeholders, user researchers and performance analysts 
- collect and analyse quantitative and qualitative data through research
- assure the work of other evaluators, including evaluation plans, data collection and analysis
- identify the resources evaluation needed for evaluation activities",Product and service monitoring,Product and service monitoring involves developing a theory of change and measurement frameworks to understand effects of services on the user and the economy.,Practitioner,"You can:
- develop a ‘theory of change’ for product or services through discussion with stakeholders
- turn theory of change indicators into measurement frameworks for a digital service
- work with performance analysts to develop a performance dashboard reporting service analytics and other identified indicators",
Data,Digital evaluator,"A digital evaluator assesses the design, implementation and outcomes of a digital product or service and whether it delivers value for the public and society. They may also be a member of a government analytical profession where evaluation is a core skill.

In this role, you will:
- work closely with delivery and policy teams
- develop ‘theories of change’ for products and services that explain links between activities, outputs, intended outcomes and unintended effects
- follow established monitoring and evaluation methods and government guidance
- produce evaluation plans
- design quantitative and qualitative research
- collect and analyse data
- communicate findings, including by publishing reports",Senior digital evaluator,"A senior digital evaluator manages the evaluations of products or services. They ensure that evaluations follow government guidance and meet standards.

At this role level, you will:
- work in a multidisciplinary team
- develop theories of change and evaluation plans with stakeholders
- manage relationships with stakeholders, user researchers and performance analysts 
- collect and analyse quantitative and qualitative data through research
- assure the work of other evaluators, including evaluation plans, data collection and analysis
- identify the resources evaluation needed for evaluation activities",Quality assurance of data and analysis,Quality assurance of data and analysis involves sorting and cleansing information so that any conclusions based on it can be made with confidence.,Practitioner,"You can:
- set up a system to get data ready for use
- specify how data should be cleansed and prepared
- bring data together from different sources
- communicate the limitations of data",
Data,Machine learning engineer,"A machine learning engineer develops, assures and maintains machine learning models so they can be used in products and services.

In this role, you will:
- be responsible for the software development and technical infrastructure needed to design, train, deploy and scale machine learning models
- provide and maintain effective, secure and sustainable machine learning models for use in products and services
- support all stages of the machine learning life cycle
- help product teams evaluate and choose appropriate machine learning solutions",Lead machine learning engineer,"A lead machine learning engineer leads the technical development and deployment of machine learning models.

At this role level, you will:
- lead the most complex technical work needed to develop models for use in products and services
- co-ordinate moving a model from the research and development stage to production
- define ways of working across the machine learning life cycle
- identify training needs for machine learning engineers and related roles
- help your team work with other teams and disciplines
- assure the effectiveness of machine learning models in use across the organisation
- define and communicate software standards and guidelines related to ethics, risk and security","Applied maths, statistics and scientific practices","Applied mathematics and statistics involves applying analytical methods including exploratory data analysis, visualisation and statistical testing to help make accurate recommendations.",Practitioner,"You can:
- apply designated quantitative techniques such as time series analysis, optimisation and simulation to create and embed appropriate models for analysis and prediction
- provide guidance on matching data sources with relevant applied mathematics and statistical techniques to meet analysis goals
- apply appropriate statistical techniques to available data to discover new relations and offer insight into research problems, helping to improve organisational processes and support decision making
- access and use the statistical tools available within the organisation",
