Skill Name,Skill Description,Awareness,Working,Practitioner,Expert,Roles that require Skill
Data architecture,"You can:
- identify and document where your organisation's data comes from and how it is shared
- assess current data systems in the organisation and the technology they use
- determine the data architecture the organisation needs to achieve organisational objectives
Examples of leadership using this skill:
- building relationships with parts of the organisation that protect access to data
- working with all areas of the organisation to ensure the data architecture works for everyone and any change is accepted
- relating data architecture to strategic objectives or important user needs to gain investment",,,,,Chief data officer
Data development process,,This skill level is currently not defined.,"You can:
- design, build and test data products based on feeds from multiple systems, using a range of different storage technologies, access methods or both
- create repeatable and reusable products","You can:
- design, build and test data products that are complex or large scale
- build teams to complete data integration services","You can:
- establish enterprise-scale data integration procedures across the data development life cycle, and ensure that teams adhere to them
- manage resources to ensure that data services work effectively at an enterprise level",Data engineer
Data engineering,"Data engineering involves ensuring the correct systems are available to enable the collection, analysis and extrapolation of data.","You can: 
- explain why you need engineering support to design and provide products for the organisation
- explain why you need to cleanse and prepare data for use in data science products
- explain different architectures, including cloud and on-premise, and data manipulation and transformation tools","You can:
- identify the appropriate engineering support to design and provide products for the organisation
- recognise the processes and tools for cleansing and preparing data, and put reusable processes and checks in place
- use different architectures, including cloud and on-premise
- use data manipulation and transformation tools","You can:
- work with data engineers and data scientists to design and provide products for the organisation","You can:
- help to identify the data engineering requirements for any data science product, while working with data engineers and data scientists to design and deliver those products into the organisation effectively
- understand the need to cleanse and prepare data before including it in data science products and can put reusable processes and checks in place
- understand a broad range of architectures, including cloud and on-premise, and data manipulation and transformation tools deployed within the organisation, and can use these tools appropriately and help others use them",Data scientist
Data ethics and privacy,Data ethics and privacy involves using data and emerging data techniques in compliance with ethical and legal obligations.,"You can:
- explain the importance of using data ethics and privacy in your work
- identify appropriate channels to discuss ethical issues, with support","You can:
- apply fundamental principles of data ethics and privacy in your work under supervision
- share data ethics and privacy risks through appropriate channels","You can:
- work with stakeholders to identify and address ethical and privacy concerns
- demonstrate and communicate how data ethical issues fit into the wider organisational context
- research developments in data ethics and privacy to improve compliance and processes
- assess and constructively challenge proposed data ethics policies","You can:
- oversee compliance with data ethics standards and legislation across the organisation
- develop, manage and continuously improve an ethical framework within your area
- develop a data ethics culture, influencing others to act on it
- ensure data ethics is applied appropriately when formulating, implementing and evaluating organisational policies and programmes","Data analyst, Data ethicist, Data governance manager, Data scientist, Digital evaluator, Machine learning engineer"
Data governance,"Data governance involves the set of standards, processes and policies that ensures your data is consistent and reliable throughout the data life cycle.",This skill level is currently not defined.,"You can:
- demonstrate up-to-date knowledge of data governance theory, standard methodology and the practical considerations
- develop an end-to-end data governance framework (the processes, operational policies and standards needed to support data management)
- work effectively with technical teams and other stakeholders to implement a data governance framework, and make recommendations to ensure compliance","You can:
- implement and monitor data governance using standard methodology throughout the data life cycle, within a large organisation
- meet the requirement for relevant data governance accreditation
- take responsibility for specific parts of a data governance framework within the organisation","You can:
- define the data governance strategy for the organisation, and connect it with the wider organisational strategy
- design, implement and monitor data governance within a large organisation, throughout the data life cycle
- set the strategy for applying end-to-end data governance frameworks, processes, operational policies, standards, compliance and assurance
- engage and work effectively with technical leaders and senior stakeholders to implement data governance and ensure compliance",Data governance manager
Data governance (data architect),"Data governance involves the set of standards, processes and policies that ensures your data is consistent and reliable throughout the data life cycle.",This skill level is currently not defined.,"You can:
- understand what data governance is required
- take responsibility for the assurance of data solutions and make recommendations to ensure compliance","You can:
- evolve and define data governance
- take responsibility for supporting and collaborating around wider governance
- assure and integrate data services to meet the needs of multiple business services
- work proactively to ensure the organisation designs architecture that considers data","You can:
- ensure data governance supports changes to the organisational strategy
- align data governance with wider governance (for example, budget)
- assure corporate services by understanding important risks and providing mitigation through assurance mechanisms",Data architect
Data governance leadership,"You can:
- review the organisation’s roles, responsibilities, policies, standards and attitudes to data
- decide the work needed to improve data governance, taking into account effort, reward and risk
- guide decision making on the most appropriate methods of implementing governance
- put in place data governance processes that ensure compliance and minimise risk
Examples of leadership using this skill:
- working with senior stakeholders to agree the level of risk the organisation is willing to tolerate
- getting senior stakeholders to prioritise improving data governance despite competing or changing priorities
- building stakeholders' confidence in new owners of data assets, for example, through training plans",,,,,Chief data officer
Data innovation,"Keeping actively informed of industry developments to make creative and cost-effective use of emerging technologies and tools, aligned with business goals and user needs.","You can:
- show an awareness of opportunities for innovation with new tools and uses of data","You can:
- understand the impact on the organisation of emerging trends in data tools, analysis techniques and data usage","You can:
- identify areas of innovation in data tools and techniques, and recognise appropriate timing for adoption","You can:
- investigate emerging trends in data-related approaches, perform horizon-scanning for the organisation and introduce innovative ways of working","Analytics engineer, Data engineer, Data architect, Data governance manager"
Data integration design,"Data integration involves combining data from different sources to provide a centralised view to help produce, transform and test data related products.",This skill level is currently not defined.,"You can:
- deliver data solutions in accordance with agreed organisational standards that ensure services are resilient, scalable and future-proof","You can:
- select and implement the appropriate technologies to deliver resilient, scalable and future-proofed data solutions","You can:
- establish standards, keep them up to date and ensure adherence to them
- keep abreast of best practice in industry and across government",Data engineer
Data life cycle,,This skill level is currently not defined.,"You can:
- understand and apply data governance over a data life cycle, ensuring best practice at each phase","You can:
- understand and apply data governance structures and principles over a data life cycle, ensuring best practice at each phase
- demonstrate knowledge of data governance industry standards
- design and implement continuous improvements to optimise data governance over a data life cycle
- work with internal and external stakeholders to build organisational capacity and capability in data governance","You can:
- take responsibility for data governance structures and principles, and ensure that they’re defined and applied with best practice throughout a data life cycle
- direct continuous improvements to optimise data governance over a data life cycle",Data governance manager
Data literacy improvement,,This skill level is currently not defined.,"You can:
- raise awareness of the need for data literacy within the organisation
- support data literacy training and development by enabling data consumers to understand what they can and cannot do with data","You can:
- recommend data literacy as a valuable skill across all levels of the organisation
- identify employee training courses and other opportunities to improve the organisation’s data literacy skills and data-driven culture","You can:
- take responsibility for improving the organisation’s data literacy
- encourage a data-driven culture within the organisation by strengthening data literacy skills among all employees
- persuade senior decision-makers that data literacy is a vital part of a data-driven culture, enabling effective decision-making at all levels",Data governance manager
Data management,"Data management involves the application of data governance policies, including the tools, procedures and methods that manage data access, sharing, dissemination and protection.","You can:
- explain the importance of data governance policies
- explain how data management tools, procedures and methods relate to a specific project","You can: 
- follow organisational data governance, including policies on data access, sharing, dissemination and protection
- participate in or deliver data management across services or products
- use appropriate data management tools, procedures and methods with some support","You can:
- advocate for effective data governance and data management policies and guidelines within your team and across your organisation
- monitor and improve data management practices in your team
- help define, develop and support the use of data management tools, procedures and methods in compliance with data governance policies","You can:
- champion and lead data management and governance processes within your team and across your organisation
- define and lead on the implementation of data management responsibilities
- define data management tools and develop training requirements to implement data governance processes effectively
- enable continuous improvement of data management practices and compliance with data governance policies","Data analyst, Data governance manager"
Data maturity,Data maturity involves measuring how set up your organisation is to make the best use of its data.,"You can:
- explain some of the different data maturity levels","You can:
- explain the different data maturity models available
- measure data maturity and implement best practices
- describe the benefits of potential improvements","You can:
- lead the implementation of data best practices
- communicate opportunities to improve data maturity
- lead on monitoring and improving areas of data maturity","You can:
- oversee the implementation of the organisation’s data maturity model
- work with senior stakeholders to provide data assurance
- report assessment findings to boards or committees
- communicate data maturity improvement plans",Data governance manager
Data modelling,Data modelling involves producing visual representations of information systems to communicate the relationship between different data types.,This skill level is currently not defined.,"You can:
- explain the concepts and principles of data modelling
- produce, maintain and update relevant data models for an organisation’s specific needs
- reverse-engineer data models from a live system","You can:
- produce relevant data models across multiple subject areas
- explain which models to use for which purpose
- understand industry-recognised data modelling patterns and standards, and when to apply them
- compare and align different data models","You can:
- understand the concepts and principles of data modelling and can produce relevant data models
- work across government and industry, recognising opportunities for the reuse and alignment of data models in different organisations
- design the method to categorise data models within an organisation","Data engineer, Data architect"
"Data modelling, cleansing and enrichment",Data modelling involves producing visual representations of information systems to communicate the relationship between different data types.,"You can:
- show an awareness of different data models and tools, and understand when they could be used
- show an awareness of industry-recognised data modelling patterns and standards","You can:
- produce data models and understand where to use different types of data models
- understand different tools and can compare different data models
- reverse-engineer a data model from a live system
- understand industry-recognised data modelling patterns and standards","You can:
- build and review complex data models, ensuring adherence to standards
- use data integration tools and languages to integrate and store data, and advise teams on best practice
- ensure data for analysis meets data quality standards and is interoperable with other data sets, enabling reuse
- work with other data professionals to improve modelling and integration patterns and standards","You can:
- understand different ways to model data to maximise its use and value
- ensure data is modelled appropriately, and modelling standards exist and are complied with
- understand a number of data integration tools and patterns, and ensure your teams have the support and training needed to use the most appropriate methods
- build relationships with other senior data professionals (in fields such as data architecture, data engineering and data science) to share best practice and continually improve data modelling and integration processes and standards",Analytics engineer
Data preparation and linkage,"Data preparation and linkage involves cleansing, modelling, transforming and assuring the quality of data so that it is usable and reproducible.","You can:
- explain the importance of data models and their uses
- identify appropriate channels in your organisation to learn about data modelling and quality standards
- identify data quality issues and provide possible solutions to resolve them
- prepare and cleanse data under supervision, contributing to making it fit for purpose","You can:
- support the planning of a data model based on appropriate data sources
- help ensure new and existing data models and pipelines can be reused or reproduced
- identify and resolve data quality issues
- prepare and cleanse data, ensuring it is fit for purpose","You can:
- plan the framework of an analytical data model based on appropriate data sources
- support the implementation of data models using appropriate tools and systems
- ensure your team understands the importance of data quality and modelling","You can:
- develop analytical data models using a deep understanding of data sources
- ensure data models are implemented using tools and systems that align with modelling standards
- set data quality standards in the organisation or beyond, and ensure stakeholders understand their importance
- mentor others in data quality and modelling",Data analyst
Data risk management,"You can:
- put in place processes that identify and document risks across the organisation and embed them into wider governance processes
- make plans to deal with issues caused by different types of risks
- use risk assessments to monitor data quality and compliance and whether risks are decreasing
Examples of leadership using this skill:
- getting owners of data assets to take responsibility for risks
- helping people use risk assessment results to make decisions instead of relying on opinion
- creating an environment where risk standards, policies and processes are valued
- encouraging the organisation to use and share data whilst ensuring data is appropriately protected",,,,,Chief data officer
Data science innovation,"Data science involves examining data through statistical analysis and data mining, to identify patterns and uncover insights that can inform decision-making.","You can:
- adopt an inquisitive and curious approach to data
- be receptive to learning about data science and its techniques
- be unafraid to ask questions and discover what there is to learn","You can:
- adopt an inquisitive and curious approach to data
- seek out and research new data science techniques to support learning
- ask questions to improve your knowledge and learn about data science norms
- see possibilities for improvements and innovation","You can:
- demonstrate practical knowledge of data science tools and techniques
- develop data science solutions that maximise insight
- identify opportunities for how data science can improve data practices","You can:
- be a leader in the data science space
- demonstrate in-depth knowledge of data science tools and techniques, which you can use to solve problems creatively and to create opportunities for your team
- act as a coach, inspiring curiosity and creativity in others
- demonstrate in-depth knowledge of your chosen profession and keep up to date with changes in the industry
- challenge the status quo and always look for ways to improve data science","Data scientist, Machine learning engineer"
Data standards,Data standards involve established practices to make it easier and more effective to share and use data across government.,This skill level is currently not defined.,"You can:
- use data policies, processes and standards effectively
- work with subject matter experts to develop standards, policies and guidance to protect data
- monitor compliance with policies and standards in a team and take action if needed
-  analyse the impact if a standard is breached","You can: 
- create data standards for different subjects and ensure senior leaders understand them
- work with subject matter experts across the organisation to introduce data standards best practice
- monitor compliance with policies and standards in the organisation
- make recommendations about how the organisation should resolve breaches of standards","You can:
- create data standards for the organisation
- advocate for, and oversee compliance with, data policies and standards
- decide where standards need to be set across the organisation, and how to set them in the wider context of government","Data architect, Data governance manager"
Data visualisation,"Data visualisation involves translating business requirements into accessible data visualisations that communicate data, such as tables, charts and graphs.","You can:
- develop and use an appropriate data visualisation under supervision to tell a meaningful story that is relevant to set goals
- explain the value of sharing a story effectively
- explain why it's important to develop inclusive, accessible data visualisations that recognise different user needs","You can:
- use the most appropriate data visualisation to tell a focussed story that is relevant to the team's goals
- develop inclusive, accessible data visualisations that recognise different user needs
- work with others in a multidisciplinary team to ensure a visualisation provides the information they need","You can:
- use a range of data visualisations to simplify a complex story
- adapt a story to the needs of multidisciplinary stakeholders
- advise and support others in developing inclusive, accessible data visualisations that recognise different user needs
- suggest improvements to data visualisation processes and standards to increase efficiency and quality","You can:
- translate business requirements into goals for data visualisations
- set and advocate for new standards and practices in inclusive, accessible data visualisation
- identify data visualisation capability gaps and implement appropriate training
- promote the value and adoption of data visualisations across the organisation
- strategically support stakeholders in understanding and using a story",Data analyst
Delivering business impact,,"You can:
- show an understanding of the organisation and the benefits of data science
- develop data science products as part of a team
- create basic visuals and presentations to communicate data science effectively
- show knowledge of data and analysis and can discuss how to align them to meet user needs","You can:
- show an understanding of the organisation and the benefits of data science
- collaborate to help identify user needs and develop and deliver data science products
- communicate effectively and present analysis and visualisations tailored to your audience","You can:
- lead and support your organisation area by using data science to create change
- identify opportunities to develop data science products to support organisational objectives, while collaborating across the organisation to fulfil goals
- show an understanding of the role of user research, and can design and manage processes to gather and establish user needs
- communicate relevant and compelling stories effectively and present analysis and data visualisations clearly to get across complex messages
- work with colleagues to implement scalable data science products, and to understand maintenance requirements","You can:
- champion the role of data science within the organisation
- understand and champion user research, and can design and manage processes to gather and establish user needs
- identify and create opportunities to develop and deliver data science products to support organisational objectives, while collaborating across the organisation to fulfil meaningful goals
- take responsibility for delivering scalable data science products into the organisation, and establishing maintenance support",Data scientist
Delivering business impact through data,"Delivering business impact through data involves identifying the priorities of the organisation, recognising the contribution of data and making decisions with data to ensure you deliver business impact.","You can:
- explain why it's important to understand the organisation's priorities
- contribute to the development of data products to deliver business impact
- explain how to align data and analysis to meet business requirements","You can:
- explain how your work aligns to the organisation's priorities and delivers business impact
- work with others to help identify business requirements
- identify the data needed to address business requirements
- develop and deliver data products that align to organisational priorities and enable decision making, with some support when required","You can:
- lead and support others in using data to deliver business impact
- define and communicate the scope of the business impact you deliver so the value is clear
- identify opportunities to develop data products that deliver business impact
- develop and deliver scalable data products that align to organisational priorities and enable decision making","You can:
-  champion the role of data across the organisation
- strategically communicate the business impact of data across the organisation
- lead others in delivering, and identifying opportunities to deliver, scalable data products that align to organisational objectives
- partner with others, including other professions, to decide when to pivot to deliver business impact",Data analyst
Design communication,Communication involves conveying information using the most effective medium and language for the audience.,"You can:
- explain the importance of articulating design decisions to others
- describe some methods for explaining design decisions","You can:
- clearly explain problems and design ideas to others
- clearly explain design decisions to others using appropriate tools and methods","You can:
- clearly explain complex problems and ideas to teams or stakeholders outside of design
- clearly document and communicate design decisions, related risks and any unresolved issues
- build consensus around a design approach, for example, by asking difficult questions and challenging assumptions","You can:
- gain support for design decisions and design strategy from senior leaders 
- communicate design strategy across organisational boundaries
- coach others in how to effectively communicate design
- develop or introduce more effective methods of communicating design and working in the open","Graphic designer, Interaction designer, Service designer"
Designing and executing tests,Designing and executing tests involves applying appropriate test types and techniques to create and run tests that align to user needs and requirements.,"You can:
- contribute to deciding the most appropriate test types and techniques to use
- follow guidance to design, build and maintain simple tests that align to user needs and requirements
- execute simple tests with support
- explain the value of automation within testing","You can:
- set up suitable environments with some support
- select appropriate test types and techniques with some support
- design, build, maintain and execute tests that align to user needs and requirements
- conduct exploratory testing
- research and try new test types and techniques","You can:
- set up suitable environments
- influence and guide the use of appropriate test types and techniques to mitigate risk early
- lead others in designing, building, maintaining and executing tests that align to user needs and requirements
- contribute to developing and implementing standards for designing and executing tests
- improve test types and techniques through a structured process.","You can:
- set standards and influence organisational decisions for test types, techniques, design and execution
- coach others in test types, techniques, design and execution
- advocate for continuous improvement and refinement of test types and techniques
- make strategic decisions on new or improved test types and techniques used in your area","Quality assurance test analyst, Test engineer, Test manager"
Designing for everyone,,"You can:
- explain the importance of making government content and services inclusive, accessible and environmentally sustainable
- explain different access needs that users can have, and ways to meet them
- describe how privilege and power influence the design and delivery of content and services","You can:
- work with others to design and deliver inclusive, accessible and  environmentally sustainable content or services that meet the needs of all users
- ensure a design meets appropriate standards, for example accessibility regulations, with support","You can:
- advise teams on how to design inclusive, accessible and environmentally sustainable content or services
- design and deliver ethical content or services that consider the personal and social context of users
- ensure a design meets appropriate standards, for example accessibility regulations","You can:
- measurably improve the practice of inclusive, accessible and environmentally sustainable design in multiple teams or across your organisation
- help others understand and mitigate the influence of privilege and power on the design and delivery of content and services","Graphic designer, Interaction designer, Service designer"
Designing secure systems,,This skill level is currently not defined.,"You can:
- design and review system architectures through the application of patterns and principles","You can:
- design and review system architectures through the development of patterns and principles","You can:
- lead design and review solutions to complex problems with system architectures by defining and challenging patterns and principles
- create precedents and set direction",Security architect
Designing strategically,Strategy involves creating a plan to achieve a team or organisation's objectives.,"You can:
- explain the importance of aligning to the strategy of an organisation
- describe how your design work aligns to the wider goals and vision of your team
- explain the value of using patterns and components in design","You can:
- align your design work to both the goals and vision of your team and the strategic objectives of your organisation
- identify potential risks and use design to mitigate them
- identify opportunities and use design to take advantage of them
- contribute to the development of design patterns and components","You can:
- help a team understand how user-centred design helps it meet its goals
- help teams align their work to the goals and vision of their organisation
- use risks, opportunities and constraints in technology, systems and policy to shape design
- identify and create new design patterns and components","You can:
- work with others to ensure design becomes part of the development and implementation of your organisation’s strategy
- work with leaders to ensure design is included in policy, technology and delivery processes early enough to inform effective decision making
- enable use of patterns and components across the organisation","Graphic designer, Interaction designer, Service designer"
Designing together,,"You can:
- explain different techniques for bringing together perspectives from multiple people to inform a design
- explain the importance of constructive feedback in the design process","You can:
- effectively plan and run a design session with your team, users or stakeholders
- identify and engage the right people throughout the design process
- give and receive constructive design feedback","You can:
- advise others how to effectively plan and run design sessions with a team, users or stakeholders
- adapt a design session to ensure you achieve a useful outcome
- effectively involve the right people throughout the design process 
- work across team or profession boundaries, for example with policy teams","You can:
- effectively plan and run design sessions that include senior leaders or stakeholders 
- help teams connect and work across organisational boundaries
- coach other designers in how to involve stakeholders of any level in the design process
- develop or introduce more effective ways to design together","Graphic designer, Interaction designer, Service designer"
Developing code for analysis,"Developing code for analysis involves designing, implementing and improving analytical approaches, manually or via an interface.","You can:
- explain the importance of coding for analysis
- explain the value of maintaining analytical approach documentation
- design an analytical approach with support, for example, writing simple code","You can:
- design the analytical approach and the code needed to address simple research questions
- explain the importance of testing code
- review and improve analytical approaches under supervision, including code
- produce analytical approach documentation that describes the code you wrote","You can:
- design and implement the analytical approach, including code, using appropriate standards and tests
- lead collaboration to review and improve analytical approaches, including shared code
- guide others in producing analytical approach documentation, identifying improvements","You can:
- oversee and promote the implementation of coding standards and practices on existing and new analytical outcomes, products and services
- contribute to coding standards across the organisation
- ensure reproducibility of code and code documentation across the organisation",Data analyst
Developing data science capability,"Training and capability improvement involves identifying and advocating ways to develop the skills, knowledge and performance of individuals or organisations.","You can:
- show an awareness of various sources of training and self-directed learning for data science
- create a CPD (continuous professional development) plan with support from your manager
- demonstrate a basic understanding of key data science techniques, such as machine learning, and how they can be used","You can:
- manage your CPD (continuous professional development) and can link your learning to objectives and organisational goals
- confidently talk about the benefits of data science approaches to existing and potential customers
- demonstrate a good understanding of key data science techniques, such as machine learning, and you can use them to build data science solutions, including reports, models and dashboards","You can:
- manage your CPD (continuous professional development) and can link your learning to objectives and organisational goals
- support data science capability building across the team and wider organisation
- confidently talk about the benefits of data science approaches to existing and potential customers
- demonstrate a good understanding of a range of data science techniques, such as machine learning and natural language processing, and you can use them to build data science solutions, including reports, models and dashboards","You can:
- act as a leader or technical specialist, providing detailed support and guidance within the organisation and helping colleagues to develop skills
- set the direction of CPD (continuous professional development) within your team
- keep up to date with new developments in data science and can match those to opportunities in your organisation
- talk confidently about the benefits of data science approaches to existing and potential customers
- demonstrate an in-depth understanding of a wide range of data science techniques, such as machine learning and natural language processing, and detailed knowledge of at least one specialism
- use these techniques to build data science solutions, including reports, models and dashboards",Data scientist
Development process optimisation,Process optimisation involves ensuring your processes are accurately defined and capture the most efficient way to complete a task by monitoring modified procedures.,"You can:
- explain the importance of developing process efficiency and the common ways in which processes are optimised
- support specific activities to improve development processes
- identify obvious deficiencies","You can:
- work under guidance to identify process optimisation opportunities
- contribute to the implementation of proposed solutions","You can:
- analyse current processes
- identify and implement opportunities to optimise processes
- lead and develop a team of experts to deliver service improvements
- help to evaluate and establish requirements for the implementation of changes by setting policy and standards","You can:
- set the strategy and manage resource allocation for solution development programmes
- work with client functions to establish business requirements and identify, propose, initiate and lead these programmes","Software developer, Development operations (DevOps) engineer"
Empathy and inclusivity,"Inclusion involves including everyone to incorporate disparate views and requirements, whether developing products and services or internal policies.",This skill level is currently not defined.,This skill level is currently not defined.,This skill level is currently not defined.,"You can:
- incorporate a wide variety of views from underrepresented groups into product and policy work, using in-depth consulting and outreach strategies
- be involved in the wider organisational diversity and inclusion plan
- draw on your multidisciplinary background and personal experience to understand the consequences of data systems on a diverse range of stakeholders
- demonstrate a thorough understanding of social issues, types of bias and discrimination different groups can face, and you can use this knowledge to inform your data ethics work",Data ethicist
Enabling and informing risk-based decisions,,This skill level is currently not defined.,"You can:
- work with risk owners to advise and give feedback
- advise on risk impact and whether it's within risk tolerance
- describe different risk methodologies and how these are applied, as well as the proportionality of risk","You can:
- work with higher impact or more complex risks, advising on the impact and whether it's within risk tolerance
- apply different risk methodologies in proportion to the risk","You can:
- act as a point of escalation
- be trusted by senior risk owners as an expert in security
- apply risk methodologies at the most complex levels of risk","Data governance manager, Security architect"
"Ensuring resilience of digital, data and technology","You can:
- be accountable for digital, data and technology resilience across the organisation
- advocate for the appropriate level of investment to support organisational resilience 
- ensure that risks, including cyber security, privacy and compliance risks, are addressed by governance, operational processes, delivery practices and the strategic selection of suppliers
Examples of leadership using this skill:
- directing the digital, data and technology environment so the organisation can safely and securely harness innovative practices and emerging technologies
- working with the board to agree acceptable levels of information and cyber security risk, controls and mitigation strategies
- working with senior leaders to ensure that digital, data and technology is operating within organisational and external security governance frameworks",,,,,Chief digital and information officer
Enterprise and business architecture (business analyst),"Enterprise architecture involves analysing how to achieve an organisation's objectives by designing and aligning its IT applications and technologies. Business architecture involves defining the business strategy, governance and most important processes of the organisation.",This skill level is currently not defined.,"You can:
- work with limited direction to translate business drivers, goals and constraints into business objectives
- help to define required capabilities and support organisational changes to create operating models that meet business objectives",This skill level is currently not defined.,This skill level is currently not defined.,Business analyst
Enterprise architecture,Enterprise architecture involves analysing how to achieve an organisation's objectives by designing and aligning its IT applications and technologies.,"You can:
- explain how to turn an organisation's goals into clear objectives
- explain how an architecture that defines technology, people, process and other elements can be used to achieve the organisation’s objectives","You can:
- turn an organisation's goals into clear objectives, with limited direction
- design an architecture that defines the technology, people, process and other elements needed to achieve organisation objectives, with support","You can:
- design an architecture that defines the technology, people, process and other elements needed to achieve organisation objectives
- work with others across the organisation to ensure your design is used to achieve the organisation’s objectives","You can:
- lead others designing architectures defining the technology, people, process and other elements needed to achieve organisation objectives
- work with others beyond the organisation to influence organisational structures, technology, people and processes to achieve objectives
- ensure organisation-wide changes align with the architectural strategy",Enterprise architect
Evaluation delivery,Evaluation delivery involves using data collection and analytical techniques to evaluate a digital product or service across the development cycle.,"You can:
- explain when to use some evaluation techniques such as process evaluation, impact evaluation, ‘theory of change’, experimentation and economic evaluation
- describe some methods for collecting quantitative and qualitative data
- describe some analytical approaches, including descriptive and inferential analysis","You can:
- evaluate interventions with support using techniques including process evaluation, impact evaluation, ‘theory of change’, experimentation and economic evaluation
- collect quantitative and qualitative data with support
- analyse and interpret data you have collected and data from other sources with support
- use some analytical approaches, including descriptive and inferential analysis","You can:
- evaluate digital services using some appropriate techniques including process evaluation, impact evaluation, ‘theory of change’, experimentation and economic evaluation
- collect quantitative and qualitative data
- analyse and interpret data you have collected and data from other sources
- use a wide range of analytical approaches, including descriptive and inferential analysis.","You can:
- provide guidance on evaluation techniques for digital services to evaluators
- assure the evaluation work of digital evaluator teams define best practice and methodologies for evaluation and ensure they are shared across teams
- coach people across the organisation to use appropriate evaluation techniques",Digital evaluator
Evaluation planning and strategy,"Evaluation planning and strategy involves working with stakeholders to develop plans for monitoring and evaluating products and services, and gaining support for effective evaluation.","You can:
- describe how you might work with a stakeholder to understand what they need to evaluate and why
- describe a process for translating stakeholder needs into potential research questions and evaluation approaches
- describe some methods for monitoring and evaluating a product or service","You can:
- work with stakeholders to understand their needs
- translate stakeholder needs into potential research questions and evaluation approaches
- present options for monitoring and evaluation of products and services
- influence decisions on evaluation plans with support","You can:
- influence stakeholders to secure resources for an evaluation project
- identify evaluation and evidence needs
- ensure plans for monitoring and evaluation of products and services are appropriate and proportionate
- consider wider policy and practical constraints that affect evaluation strategy
- agree the evaluation approach with diverse stakeholders","You can:
- influence the organisation’s senior stakeholders to secure resources for evaluation projects
- provide guidance on the evaluation strategy for a group of digital products and services
- ensure evaluation plans are delivered effectively and meet quality standards
- coach teams on how to create evaluation and plans and strategies",Digital evaluator
Evidence-based design,,"You can:
- explain how research and analytics inform user-centred design
- frame your ideas as design hypotheses to be tested
- identify common sources and types of data that inform user-centred design","You can:
- analyse, synthesise and clearly explain evidence relevant to users or a service, for example, web analytics data
- work with researchers or analysts to use evidence to inform, develop and test a design idea","You can:
- analyse, synthesise and clearly explain complex evidence relevant to users or a service, for example, large data sets
- help your team use design hypotheses effectively
- use complex research and data to develop and test design ideas","You can:
- embed a practice of hypothesis-driven design in a team
- guide the organisation in how to use evidence to improve services
- analyse, synthesise and use evidence to improve the way the organisation works
- ensure user insights are shared with and used by the wider organisation and across government","Graphic designer, Interaction designer, Service designer"
