Continental Reformed churches	European Calvinist traditions outside British Isles.
Swiss Reformed	Original Reformation churches from Zurich, Geneva, and Swiss cantons.
Dutch Reformed	Netherlands Calvinist tradition with strong confessional identity.
French Huguenot	French Reformed tradition persecuted and diaspora communities.
Neo-Calvinism	Dutch movement applying Reformed theology to all spheres of life.
New Calvinism	21st-century Reformed resurgence among evangelicals.
Presbyterianism	Reformed polity governed by elected elders in hierarchical courts.
Zwinglianism	Swiss Reformation following Zwingli's theology and practice. 
Reformed Eastern Christianity	Eastern European Calvinism among Hungarian and Romanian communities.
Restoration movement (a.k.a. "Restorationism")	Movements seeking to restore primitive New Testament Christianity.
Adventism	Movement teaching imminent Second Coming and investigative judgment.
Seventh-day Adventist Church	Sabbatarian church teaching investigative judgment and health reform.
Churches of Christ	Non-instrumental Restorationist churches emphasizing New Testament pattern.
Bible Student movement	Groups following Charles Taze Russell's millennial teachings.
Jehovah's Witnesses	Millenarian movement rejecting Trinity and teaching theocratic Kingdom.
Latter Day Saint movement	American restoration claiming new scripture and modern prophets.
The Church of Jesus Christ of Latter-day Saints	Largest Mormon denomination based in Salt Lake City.
Mormon fundamentalism	Splinter groups practicing polygamy and rejecting LDS reforms.
Swedenborgianism (a.k.a. "The New Church")	Esoteric Christianity based on Emanuel Swedenborg's mystical visions.
Unitarianism	Liberal Christianity rejecting Trinity and emphasizing reason and tolerance. 
Latin Church (part of Catholic Church)	Western/Roman Catholic Church using Latin rite under papal authority.
Black Catholicism	African American Catholic experience with distinct spirituality.
Charismatic Catholics	Catholic renewal movement emphasizing spiritual gifts and experience.
Gallicanism	French movement asserting national church autonomy from papal control.
Independent Catholic churches (a.k.a "Independent Catholicism")	Churches claiming apostolic succession outside papal communion.
Old Catholic Church	Movement rejecting papal infallibility after Vatican I.
Liberal Catholicism	Progressive movement seeking reform and dialogue with modernity.
Modernist Catholics	Early 20th-century reformers condemned for historical-critical methods.
Traditionalist Catholics	Conservatives preferring pre-Vatican II liturgy and theology.
Sedevacantism	Extreme traditionalists claiming papal seat vacant since Vatican II.
Sedeprivationism	View that recent popes lack authority but retain office.
Ultramontanism	Movement emphasizing strong papal authority over national churches. 
Syncretic	Christian forms blending with indigenous or non-Christian traditions.
Cult of El Tío	Bolivian miner veneration of devil figure in Catholic context.
Cult of María Lionza	Venezuelan syncretism blending indigenous, African, Catholic elements.
Polish folk beliefs	Catholic practices blended with Slavic pagan customs and folk magic.
Cult of Santa Muerte	Mexican folk saint veneration outside official Catholicism.
Esoteric Christianity	Mystical and occult interpretations of Christian symbolism.
Christian Theosophy	Mystical tradition teaching divine wisdom and inner Christianity.
Christopaganism	Syncretic practice combining Christian and pagan/Wiccan elements.
Martinism	French esoteric tradition teaching spiritual masonry and mysticism.
Folk Christianity	Popular religion blending official doctrine with local customs.
Folk Catholicism	Village Catholicism mixing saints with pre-Christian traditions.
Folk Orthodoxy	Popular Orthodoxy incorporating folk magic and local customs.
God Worshipping Society (Historical)	Chinese Christian-influenced movement leading to Taiping Rebellion.
Judaizers (Judeo-Christian)	Groups maintaining Jewish law and customs alongside Christian belief.
Christian Kabbalah	Renaissance synthesis applying Jewish mysticism to Christian theology.
Messianic Judaism	Movement maintaining Jewish identity while accepting Jesus.
Rizalista	Philippine sects divinizing national hero José Rizal.
Samaritan Christians	Tiny community combining Samaritan and Christian elements.
Spiritual Baptist	Afro-Caribbean tradition blending Protestantism with African practices.
American Civil Religion	Quasi-religious patriotism sacralizing American symbols and history.
Christian Universalism	Belief in eventual salvation of all souls through Christ's redemption.
Nondenominational Christianity	Independent churches rejecting formal denominational affiliation.
Nontrinitarianism	Christian movements rejecting three-person Godhead doctrine.
Islam	Abrahamic monotheism following Muhammad's revelation in Quran.
Khawarij	Early puritanical sect emphasizing sinlessness and rejecting both Ali and Uthman.
Azraqi (Historical)	Extreme Kharijite faction teaching violent jihad against all sinners.
Haruriyyah (Historical)	First Kharijite group seceding from Ali over arbitration compromise.
Ibadi	Moderate Kharijite survivors emphasizing correct practice over theology.
Najdat (Historical)	Kharijite faction allowing dissimulation and conditional leadership.
Sufri (Historical)	Moderate Kharijite branch allowing intermarriage with non-Kharijites. 
Shia Islam	Followers of Ali and his descendants as rightful Islamic leaders.
Alevism	Turkish syncretism blending Shia, Sufi, and Anatolian elements.
Alians	Alevi sub-group with particular ritual and theological emphases.
Bektashism	Sufi-Alevi order emphasizing mysticism and heterodox practices.
Kurdish Alevism	Kurdish syncretism mixing Shia with pre-Islamic Kurdish traditions.
Alawites (Nusayris)	Esoteric Syrian tradition teaching divine manifestation in Ali.
Isma'ilism	Shia branch following Ismail as seventh Imam with esoteric teachings.
Mustaali	Ismaili branch recognizing Tayyib as hidden Imam, led by Da'i.
Dawoodi Bohra	Largest Mustaali community based in India with strong hierarchy.
Alavi Bohra	Smaller Mustaali branch based in Vadodara with separate leadership.
Atba-i-Malak	Dawoodi splinter group rejecting official leadership succession.
Atba-i-Malak Badar	Faction recognizing alternative Da'i lineage from Abdul Hussain Jivaji.
Atba-i-Malak Vakil	Faction following different succession claiming authentic leadership.
Hebtiahs Bohra	Historical Mustaali sub-group with unique theological positions.
Progressive Dawoodi Bohra	Reform movement advocating modernization and women's rights.
Sulaymani	Mustaali branch primarily in Yemen following separate Da'i succession.
Nizari	Ismaili branch following Aga Khan as living Imam with global following.
Twelver	Largest Shia branch awaiting return of twelfth hidden Imam.
Ja'fari jurisprudence	Legal school of Twelver Shiism based on Imam Ja'far's teachings.
Akhbari	Traditionalist Twelver school relying on hadith over juristic reasoning.
Shaykhism	Mystical Twelver school teaching fourth pillar of perfect Shia.
Usuli	Dominant Twelver school emphasizing mujtahid authority and ijtihad.
Zaidiyyah	"Fiver" Shia closest to Sunni accepting any qualified Alid Imam.
Jarudiyah	Zaidi branch teaching Imamate belongs exclusively to Ali's descendants.
Batriyya	Moderate Zaidi branch accepting validity of first two caliphs.
Sufism	Islamic mysticism emphasizing direct experience of divine through prayer.
Bektashi Order	Turkish-Albanian order with Shia leanings and liberal practices.
Chishti Order	South Asian order emphasizing love, tolerance, and musical devotion.
Kubrawiya	Central Asian order teaching visionary experiences and light mysticism.
Khufiyya	Chinese Sufi branch practicing silent dhikr and accommodation with authorities.
Mevlevi Order	Turkish "Whirling Dervishes" using dance for spiritual ecstasy.
Mouride	Senegalese order emphasizing work ethic and devotion to Sheikh.
Naqshbandi	Major order emphasizing silent dhikr and sobriety in mysticism.
Jahriyya	Chinese Naqshbandi branch practicing vocal dhikr and facing persecution.
Ni'matullāhī	Persian Shia order teaching love, poetry, and philosophical Sufism.
Qadiriyya	Widespread order founded by Abd al-Qadir Gilani emphasizing universality.
Roshani	Pashtun movement teaching egalitarianism and inner light mysticism.
Shadhili	North African order emphasizing sobriety and integration with society.
Suhrawardiyya	Order balancing mysticism with orthodoxy and political engagement.
Sufi Order International	Western adaptation teaching universal mysticism.
Tijaniyyah	West African order claiming special prophetic connection and exclusivity.
Universal Sufism	Inayat Khan's universalist teaching emphasizing unity of all religions.
Sunni Islam	Majority branch following consensus of community and four caliphs.
Kalam	Islamic theology using rational arguments to defend faith.
Ash'ari	Orthodox theological school balancing reason with revelation.
Maliki	Legal school based on Medinan practice and Imam Malik's teachings.
Shafi'i	Legal school emphasizing systematic methodology and hadith primacy.
Maturidi	Theological school similar to Ash'ari with more rational emphasis.
Hanafi	Most widespread legal school emphasizing reason and analogical deduction.
Barelvi	South Asian movement emphasizing Sufi practices and Prophet veneration.
Deobandi	South Asian reform movement emphasizing orthodoxy and opposing innovation.
Gedimu	Chinese traditional Islam accommodating Confucian culture and practices.
Athari	Traditionalist theology rejecting rationalism and metaphorical interpretation.
Hanbali	Strictest legal school emphasizing literal texts and limiting reasoning.
Salafi	Reform movement returning to early Islam and rejecting later innovations.
Madkhalism	Ultra-quietist Salafi strand emphasizing obedience to Muslim rulers.
Wahhabism	Saudi puritanical movement rejecting saints and innovations.
Ahle Hadith	South Asian movement rejecting legal schools for direct hadith study.
Islamic Modernism	Movement reconciling Islam with modernity and Western thought. 
Syncretic	Islamic forms blending with pre-Islamic or non-Islamic traditions.
Abangan	Javanese Islam syncretizing with Hindu-Buddhist and animist traditions.
Ali-Illahism	Kurdish heterodox tradition venerating Ali as divine manifestation.
Din-i Ilahi	Mughal Emperor Akbar's syncretic religion blending Islam with other faiths.
Kafirism	Afghan indigenous religion with polytheistic pre-Islamic elements.
Pagal Panthis	Bengali syncretic movement mixing Sufism with Vaishnava devotionalism.
Persian mysticism	Iranian philosophical and mystical traditions influencing Sufism.
Satpanth	South Asian tradition blending Ismaili Islam with Hindu bhakti devotion.
Barmati Panth	Satpanth sub-branch with specific ritual and community practices.
Wetu Telu	Sasak syncretic tradition mixing Islam with indigenous Lombok beliefs.
Other	Miscellaneous Islamic movements and philosophical schools.
Ahmadiyya	Movement following Mirza Ghulam Ahmad as promised Messiah and reformer.
Avicennism	Ibn Sina's philosophical synthesis of Aristotle with Islamic theology.
Chinese Islam	Hui and other Chinese Muslims adapting Islam to Confucian society.
European Islam	Islam developing distinctive forms in European cultural context.
Illuminationism	Suhrawardi's philosophy teaching divine light and angelic hierarchies.
Jadid	Central Asian reform movement promoting education and modernization.
Liberal movements within Islam	Progressive interpretations emphasizing gender equality and pluralism.
Mahdavia	Movement following Muhammad Jaunpuri as promised Mahdi.
Mahdist movement	Sudanese uprising led by self-proclaimed Mahdi Muhammad Ahmad.
Muʿtazila	Rationalist theological school emphasizing free will and divine justice.
Quranism	Movement rejecting hadith authority, accepting only Quran as scripture.
Riaz Ahmed Gohar Shahi	Controversial figure claimed as Mehdi/Messiah by followers.
Messiah Foundation International	Organization promoting Gohar Shahi's teachings and claims.
Transcendent Theosophy	Mulla Sadra's synthesis of philosophy, mysticism, and theology.
Zikrism	Balochi movement teaching Zikri as final prophet after Muhammad. 
Judaism	Abrahamic monotheism following Torah and covenant with God.
Biblists	Ancient groups accepting only written Torah, rejecting oral tradition.
Essenes	Ascetic Dead Sea community emphasizing purity and apocalypticism.
Bana'im	Ancient sect possibly practicing daily immersion rituals.
Hemerobaptists (possible ancestor of Mandaeism)	Daily-bathing sect possibly influencing later Gnostic tradition.
Maghāriya	Cave-dwelling sect with unique scriptural interpretations and practices.
Nasoraeans (ancestor of Mandaeism)	Proto-Mandaean baptizing sect in Jordan valley region.
Hellenistic Judaism	Diaspora Judaism synthesizing Greek philosophy with Torah.
God fearers	Gentile synagogue adherents observing some laws without full conversion.
Houses of Hillel and Shammai	Rival Pharisaic schools with liberal and strict interpretations.
Hypsistarianism	Graeco-Jewish syncretism worshiping "Highest God" with mixed practices.
Magarites	Little-known sect mentioned in medieval sources with obscure beliefs.
Messianic sects	Jewish groups accepting various messianic claimants throughout history.
Ebionites	Jewish Christians maintaining law and rejecting Paul's teachings.
Elcesaites	Jewish-Christian baptizing sect with unique christology and practices.
Nazirite	Ascetics taking vows of abstinence, long hair, and purity for periods.
Okbarites	Medieval sect with distinctive practices and legal interpretations.
Pharisees (ancestor of Rabbinic Judaism)	Popular teachers emphasizing oral law and resurrection belief.
Sabbateans	Followers of false messiah Sabbatai Zevi, some converting to Islam.
Frankism	Antinomian sect following Jacob Frank with extreme libertine practices.
Sadducees (possible ancestor of Karaite Judaism)	Temple aristocracy rejecting resurrection and oral law.
Boethusians	Sadducee-related group with priestly connections and similar theology.
Second Temple Judaism	Diverse Jewish religion before 70 CE Temple destruction.
Synagogal Judaism	Temple-era worship developing synagogue-based communal prayer and study.
Therapeutae	Egyptian Jewish ascetics practicing contemplation and allegorical interpretation.
Yudghanites	Medieval Persian sect with unique calendar and legal positions.
Zealots (Judea)	Revolutionary militants seeking armed overthrow of Roman occupation.
Sicarii	Extremist assassins targeting Roman collaborators and moderates. 
Kabbalah	Jewish mysticism teaching hidden meanings in Torah and divine emanations.
Lurianic Kabbalah	Isaac Luria's cosmic myth teaching divine contraction and redemption.
Merkabah mysticism	Early Jewish mysticism focusing on heavenly ascent and throne vision.
Practical Kabbalah	Applied mysticism using amulets, names, and rituals for protection.
Prophetic Kabbalah	Meditative techniques for achieving prophetic states and visions.
Non-Rabbinic Judaism	Jewish movements not following rabbinic oral law and Talmudic tradition.
Folk Judaism	Popular practices blending official Judaism with local customs and magic.
Haymanot	Ethiopian Jewish tradition with unique practices and biblical interpretation.
Karaite Judaism	Movement accepting only written Torah, rejecting rabbinic oral law.
Qemant Judaism	Ethiopian group with Jewish-influenced practices and animist elements.
Rabbinic Judaism	Mainstream tradition based on Talmud, oral law, and rabbinic authority.
Conservative Judaism (a.k.a. Masorti Judaism)	Centrist movement balancing tradition with modern adaptation.
Humanistic Judaism	Secular movement celebrating Jewish culture without theistic belief.
Jewish Renewal	Progressive spirituality movement blending mysticism with social justice. 
Orthodox Judaism	Traditional movements maintaining strict halakhic observance and belief.
Carlebach movement	Neo-Hasidic renewal emphasizing joyful music and spiritual openness.
Haredi Judaism (a.k.a. ultra-Orthodox)	Strictly observant communities resisting modernity and secular culture.
Dor Daim	Yemenite rationalist movement rejecting Zohar and emphasizing Maimonides.
Hardal	"Haredi-leumi" combining strict observance with religious Zionism.
Haredi burqa sect	Extremist modest group requiring women wear full-body covering.
Hasidic Judaism	Eastern European mystical revival emphasizing joy and rebbe devotion.
Misnagdim	Lithuanian scholars opposing Hasidism, emphasizing Talmud study and rationalism.
Sephardic Haredi	Middle Eastern/North African ultra-Orthodox with distinct traditions.
Modern Orthodox Judaism	Movement integrating Torah observance with secular education and engagement.
Open Orthodox Judaism	Progressive Orthodox allowing female clergy and modern values.
Musar movement	Ethical self-improvement through character development and introspection.
Religious Zionism	Orthodox movement supporting Jewish state as religious fulfillment.
Reconstructionist Judaism	Progressivism viewing Judaism as evolving civilization, not supernatural.
Reform Judaism	Liberal movement emphasizing ethical monotheism and personal autonomy. 
Other Abrahamic	Abrahamic traditions outside Christianity, Islam, and Judaism.
Bábism	19th-century Persian movement teaching progressive revelation and Bab.
Azalism	Bábí faction following Subh-i-Azal, rival to Baháʼu'lláh's claim.
Baháʼí Faith	Universal religion teaching unity of humanity and progressive revelation.
Caravan of East and West	Alternative Baháʼí interpretation with different leadership.
Free Baháʼís	Groups claiming independent Baháʼí identity outside mainstream authority.
Orthodox Baháʼí Faith	Faction following different succession after Shoghi Effendi's death.
Druze	Esoteric offshoot from Ismaili Islam teaching reincarnation and esotericism.
Mandaeism	Ancient Gnostic religion venerating John the Baptist with baptismal rites.
Samaritanism	Ancient Israelite religion accepting only Torah and Mount Gerizim. 
Iranian religions	Ancient Persian spiritual traditions and their modern continuations.
Manichaeism	Ancient dualistic religion teaching cosmic struggle of light and darkness.
Athinganoi (Historical)	Medieval group possibly preserving Manichaean or dualist beliefs.
Chinese Manichaeism	Eastern adaptation blending Manichaeism with Buddhism and Taoism.
Yazdânism	Kurdish angel-worshiping traditions with pre-Islamic Iranian origins.
Ishikism	Kurdish heterodox tradition with syncretic Islamic-Yazdani elements.
Shabakism	Iraqi minority religion blending Shia, Sufi, and Yazdani beliefs.
Yarsanism	Kurdish tradition teaching reincarnation and seven divine manifestations.
Yazidism	Kurdish religion venerating Peacock Angel with strict endogamy.
Zoroastrianism	Ancient Persian dualism teaching cosmic struggle between good and evil.
Behafaridians (Historical)	Medieval Persian movement with egalitarian and anti-ritual teachings.
Gayomarthians	Obscure Iranian sect with unique cosmological beliefs.
Ilm-e-Khshnoom	Mystical Zoroastrian school teaching occult knowledge and reincarnation.
Khurramites (Historical)	Medieval Persian movement teaching communalism and antinomianism.
Mazdakism (Historical)	Late antique reform teaching communal property and egalitarianism.
Mazdaznan	Modern Western movement blending Zoroastrian themes with new age ideas.
Sepasian (Historical)	Medieval Iranian sect with distinctive theological positions.
Azarkeivanian	Obscure Iranian group with limited historical documentation.
Ustadh Sis (Historical)	Persian mystical-philosophical movement blending various traditions.
Zurvanism	Zoroastrian heresy teaching primordial time as supreme deity.
Blagovery	Slavic neo-pagan movement incorporating Zoroastrian-influenced dualism.
Indigenous (ethnic, folk) religion	Ethnic and tribal spiritual traditions tied to specific cultures.
Traditional African	Indigenous African religions emphasizing ancestors and spirits.
ǃKung religion	Khoisan belief in creator deity and trance healing practices.
Abwoi religion	West African tradition with distinct cosmology and ritual practices.
Acholi religion	Ugandan belief system centered on creator Jok and ancestral spirits.
Afizere traditional religion	Nigerian ethnic religion venerating supreme deity and nature spirits.
Akan religion	Ghanaian tradition worshiping Nyame creator and lesser deities.
Asante religion	Akan sub-group emphasizing Golden Stool and royal divine kingship.
Azande traditional religion	Central African belief in Mbori creator and magic.
Azande witchcraft	Belief system explaining misfortune through hereditary witchcraft substance.
Bafia religion	Cameroonian tradition with creator deity and ancestral veneration.
Baka traditional religion	Pygmy forest spirituality emphasizing nature spirits and ancestors.
Bantu religion	Widespread family of traditions across sub-Saharan Africa. 
Abagusii religion	Kenyan Bantu tradition venerating ancestors and practicing divination.
Akamba traditional religion	Kenyan belief in Mulungu creator and ancestral mediation.
AmaMpondomise traditional religion	South African tradition emphasizing ancestors and ritual specialists.
Badimo	Tswana ancestral spirits venerated as mediators with supreme being.
Balondo religion	Cameroonian coastal tradition with water spirits and secret societies.
Baluba religion	Congolese tradition venerating Vidye creator and royal ancestors.
Bamileke religion	Cameroonian Grassfields tradition with powerful secret societies.
Bamum traditional religion	Cameroonian tradition blending ancestor worship with royal cult.
Banyole traditional beliefs	Ugandan tradition centered on Were creator and clan spirits.
Bubi spirituality	Equatorial Guinea island religion with supreme deity and nature spirits.
Bushongo religion	Congolese tradition teaching Bumba creator vomiting forth universe.
Bwiti	Gabonese syncretic religion using iboga plant for visionary experience.
Chokwe spiritual beliefs	Angolan-Congolese tradition with masks and ancestral spirits.
Duala traditional religion	Cameroonian coastal religion venerating water spirits and ancestors.
Embu beliefs	Kenyan tradition worshiping Mwene Njeru creator on sacred Mount Kenya.
Fipa religion	Tanzanian tradition with high god and ancestral mediation.
Furiiru traditional religion	Congolese tradition with supreme deity and ancestral mediation.
Giriama traditional religion	Kenyan coastal belief in Mulungu and ancestral koma spirits.
Herero traditional faith	Namibian pastoralist religion emphasizing ancestors and sacred cattle.
Himba religion	Namibian semi-nomadic tradition venerating ancestors and sacred fire.
Kikuyu traditional religion	Kenyan tradition worshiping Ngai on Mount Kenya with age-set rituals.
Kongo religion	Central African tradition teaching Nzambi creator and nature spirits.
Kwe faith	Southern African San tradition with creator and trickster deities.
Luhya religion	Kenyan cluster of traditions sharing Were/Nyasaye creator worship.
Luvale religion	Zambian-Angolan tradition with masks and initiation ceremonies.
Makua traditional religion	Mozambican-Tanzanian religion with supreme deity and spirit mediums.
Mbole religion	Congolese tradition with Likundu creator and secret societies.
Nyakyusa religion	Tanzanian-Malawian tradition with Kyala creator and cattle symbolism.
Nyau	Malawian secret society performing masked dances for initiation and funerals.
Oro Religion	Nigerian Yoruba cult practicing male initiation and ancestor veneration.
Ovambo traditional religion	Namibian-Angolan belief in Kalunga creator and ancestral veneration.
Pedi traditional religion	South African tradition with Modimo creator and ancestor mediation.
Songye religion	Congolese tradition emphasizing magical power objects and divination.
Suku religion	Congolese tradition with supreme deity and witchcraft beliefs.
Swazi traditional religion	Southern African monarchy with sacred kingship and ancestral rites.
Tonga religion	Zambian-Zimbabwe tradition with Leza creator and rain rituals.
Tsonga traditional religion	Southern African belief in Tilo sky deity and ancestor spirits.
Vanruvairuwa	Venda tradition venerating ancestors and practicing divination.
Xhosa traditional religion	South African tradition with Qamata creator and ancestral reverence.
Zulu traditional religion	South African tradition with uMvelinqangi creator and royal ancestors. 
Baoule traditional religion	Ivorian Akan tradition with elaborate funerary art and ancestor worship.
Bari traditional religion	South Sudanese tradition with creator deity and rain ceremonies.
Bassa traditional religion	Liberian coastal tradition with secret societies and water spirits.
Biri traditional religion	Nigerian tradition emphasizing communal harmony and spirit veneration.
Bobo religion	Burkinabe tradition with masks representing nature spirits and ancestors.
Bori	Hausa possession cult with spirits entering devotees during ceremonies.
Bwa religion	Burkinabe tradition with nature spirits and elaborate masked performances.
Chamba traditional religion	Nigerian-Cameroonian tradition with chief-centered rituals and spirits.
Dahomean religion	Beninese Vodun tradition with pantheon and possession rituals.
Damara religion	Namibian tradition with supreme deity and cattle-centered practices.
Dan religion	Ivorian-Liberian tradition famous for elaborate wooden masks and spirits.
Dinka religion	South Sudanese pastoralist tradition venerating Nhialic creator.
Dogon religion	Malian tradition with complex cosmology and cliff-dwelling sanctuaries.
Ebira traditional religion	Nigerian tradition with earth goddess and masquerade festivals.
Edo traditional religion	Nigerian Benin tradition with creator Osanobua and divine kingship.
Efik religion	Nigerian coastal tradition with Abasi creator and secret Ekpe society.
Esan traditional religion	Nigerian tradition emphasizing ancestors and communal shrines.
Fali traditional religion	Cameroonian mountain tradition with initiation and grain rituals.
Frafra beliefs	Ghanaian tradition worshiping Naawuni supreme deity and earth shrines.
Gbagyi traditional religion	Nigerian tradition with supreme deity and nature spirit veneration.
Ghanaian witchcraft	Belief system attributing misfortune to malevolent spiritual power. 
Hadza religion	Tanzanian hunter-gatherer tradition with creator Haine and nature spirits.
Hyel	Nigerian Middle Belt tradition venerating creator and territorial spirits.
Idoma traditional religion	Nigerian tradition with Alekwu ancestors and spirit possession.
Ijaw traditional religion	Nigerian Niger Delta belief in creator Woyingi and water spirits.
Inam	Nigerian tradition with distinct cosmology and ritual practices.
Jola traditional religion	Senegalese-Gambian tradition with supreme Ata-Emit and spirit shrines.
Khoekhoen religion	Khoikhoi tradition worshiping Tsui-Goab hero deity and moon.
Kissi traditional religion	Guinea-Sierra Leone belief in supreme deity and secret societies.
Kono traditional religion	Sierra Leonean belief in creator Meketa and secret society initiations.
Koore religion	Ethiopian tradition with sky deity Tosa and ancestor veneration.
Krahn religion	Liberian tradition with supreme deity and forest spirit veneration.
Kuku traditional beliefs	South Sudanese religion centered on creator and territorial spirits.
Lobi animism	Burkinabe tradition with thila shrine spirits protecting against witchcraft.
Maasai religion	Kenyan-Tanzanian pastoralist belief in Enkai/Ngai sky deity.
Madi traditional religion	Ugandan-South Sudanese belief in creator Rubanga and ancestral spirits.
Manjak religion	Senegalese-Guinea tradition with supreme Nhaala and initiation rites.
Moba ethnic religion	Togo-Burkina religion emphasizing earth shrines and harvest ceremonies.
Mursi animism	Ethiopian pastoralist tradition with cattle-centered cosmology.
Nso religion	Cameroonian Grassfields tradition with creator Nyi and sacred kingship.
Nuer religion	South Sudanese pastoralist religion venerating Kwoth sky spirit.
Nyongo Society	West African secret society with initiatory and judicial functions.
Bakossi beliefs	Cameroonian forest tradition with ancestral and nature spirits.
Odinala / Odinani	Igbo traditional religion with supreme Chukwu and numerous deities.
Oropom religion	Ugandan tradition with unique cosmology, now largely assimilated.
Otuho religion	South Sudanese belief system centered on creator and rainmaking rituals.
Safwa religion	Tanzanian tradition with supreme deity and ancestral mediation.
Samburu religion	Kenyan pastoralist religion related to Maasai, venerating Nkai deity.
San religion	Southern African hunter-gatherer spirituality with trance healing.
N'um	Khoisan concept of spiritual healing energy activated through trance dance.
Serer religion	Senegalese tradition with creator Roog and sophisticated cosmology.
Sidama religion	Ethiopian tradition centered on Magano supreme deity and clan spirits.
Surma religion	Ethiopian agro-pastoralist tradition with cattle and rain emphasis.
Tammari traditional religion	Benin-Togo tradition with earth deity and distinctive architecture.
Temne traditional religion	Sierra Leonean belief in Kuru Masaba creator and ancestral veneration.
Traditional Berber religion	North African indigenous beliefs mixing ancestors with nature spirits.
Turkana traditional religion	Kenyan pastoralist belief in Akuj deity and cattle importance.
Urhobo traditional religion	Nigerian Delta tradition with creator Oghene and spirit veneration.
Vodun	West African religion with pantheon of vodun spirits, possession rituals.
Waaqeffanna	Oromo monotheistic tradition worshiping Waaq sky deity and earth.
Yoruba religion	Nigerian tradition with Olodumare creator and orisha pantheon.
Ifá	Yoruba divination system consulting Orunmila wisdom deity through verses. 
Indigenous religion in Zimbabwe	Traditional Shona and Ndebele practices honoring ancestors and spirits.
Shona traditional religion	Zimbabwean belief in Mwari creator and ancestral spirits (mhondoro).
Diasporic African	African-derived religions in Americas blending with Catholicism.
Abakuá	Cuban male secret society from Efik/Ibibio Leopard Society tradition.
Arará	Cuban tradition preserving Fon/Ewe vodun practices from Dahomey region.
Batuque	Brazilian religion in Rio Grande do Sul venerating African orixás.
Birongo	Puerto Rican Kongo-derived tradition with spirit possession.
Candomblé	Brazilian religion preserving Yoruba, Fon, and Kongo practices.
Candomblé Bantu	Brazilian branch emphasizing Kongo-Angola deities and cosmology.
Candomblé Jejé	Brazilian branch maintaining Fon/Ewe vodun deities and rituals.
Candomblé Ketu	Largest Brazilian branch preserving Yoruba orisha worship and language.
Comfa	Guyanese tradition mixing African spirits with Indian and indigenous elements.
Convince	Jamaican spirit possession tradition with African ritual elements.
Cuban Vodú	Cuban synthesis of Congo-derived spirits with Catholic saints.
Dominican Vudú	Dominican Republic tradition blending African, Taino, and Catholic elements.
Encantaria	Brazilian Amazonian tradition venerating enchanted beings.
Espiritismo	Latin American Spiritism blending Kardecism with African practices.
Haitian Vodou	Haitian religion serving lwa spirits through possession and rituals.
Hoodoo	African American folk magic using roots, herbs, and psalms.
Jarê	Brazilian tradition mixing Candomblé with indigenous caboclo spirits.
Kélé	St. Lucian tradition preserving African drumming and spirit possession.
Kumina	Jamaican Kongo-derived tradition with drumming and possession.
Louisiana Voodoo	New Orleans tradition blending Haitian Vodou with Catholicism.
Montamentu	Curaçao Afro-Caribbean healing and possession tradition.
Myal	Jamaican spiritual tradition emphasizing healing and anti-witchcraft.
Obeah	Caribbean folk magic and healing practice with African roots.
Palo	Cuban Kongo-derived religion working with mpungo spirits and dead.
Quimbanda	Brazilian left-hand tradition working with exu spirits.
Rada	Haitian vodou branch emphasizing cool, beneficent African lwa spirits.
Sanctity of Jaguaripe	Brazilian Afro-indigenous syncretic tradition.
Santería	Cuban religion syncretizing Yoruba orishas with Catholic saints.
Afro-Chinese Santeria	Cuban synthesis incorporating Chinese immigrant spiritual practices.
Tambor de Mina	Brazilian tradition in Maranhão venerating voduns and caboclos.
Trinidad Orisha	Trinidadian tradition preserving Yoruba orisha worship.
Umbanda	Brazilian syncretic religion blending African, Indigenous, Spiritist elements.
Winti	Surinamese Afro-Creole tradition venerating winti spirits.
Saramaka religion	Surinamese Maroon tradition preserving African ancestral practices. 
Altaic	Central and North Asian traditions emphasizing shamanism and sky worship.
Shamanism	Spiritual practices using trance for communication with spirit world.
Tengrist	Sky-deity worshiping traditions of Central Asian steppe peoples.
Altaic shamanism	Siberian and Central Asian ecstatic traditions with spirit journeys.
Burkhanism	Altai messianic movement teaching white faith against Russian influence.
Dukha shamanism	Tuvan reindeer herder tradition with animal spirit helpers.
Evenki shamanism	Tungusic tradition with elaborate costumes and drum journeys.
Nanai shamanism	Amur region tradition with clan spirits and shamanic contests.
Manchu shamanism	Tungusic court and clan shamanism incorporating ancestor veneration.
Mongolian shamanism	Steppe tradition venerating Tengri sky and numerous nature spirits.
Black shamanism	Mongolian tradition working with darker spirits and underworld forces.
Tengrism	Ancient Turkic-Mongol sky worship teaching Tengri supreme deity.
Aiyy	Yakut belief in beneficent upper world deities and spirits.
Tengir Ordo	Kyrgyz Tengrist revival teaching traditional sky worship and ethics.
Vattisen Yaly	Chuvash native faith revival venerating Tura supreme deity and nature.
Oroqen shamanism	Tungusic hunting tradition with animal spirits and forest deities.
Shor shamanism	Altaic tradition with sky deity Ulgen and shamanic healing.
Soyot shamanism	Tuvan-Buryat tradition blending shamanism with Tibetan Buddhism.
Ulch shamanism	Amur region tradition with water spirits and elaborate healing rituals.
Yakut shamanism	Sakha tradition with three-world cosmology and epic spirit journeys. 
American	Indigenous North and South American spiritual traditions.
Ache religion	Paraguayan hunter-gatherer tradition with creator Beeru and forest spirits.
Akawaio religion	Guyanese tradition teaching creator Makunaima and mountain spirits.
